"Start";"Duration";"Pitch";"Velocity";"Instrument"
56.5;0.5;47.0;0.7086600000000001;"Piano"
56.5;0.25;71.0;0.7086600000000001;"Piano"
56.75;0.25;69.0;0.7086600000000001;"Piano"
57.0;0.5;50.0;0.7086600000000001;"Piano"
57.0;0.5;67.0;0.7086600000000001;"Piano"
57.5;0.5;55.0;0.7086600000000001;"Piano"
57.5;0.25;66.0;0.7086600000000001;"Piano"
57.75;0.25;64.0;0.7086600000000001;"Piano"
58.0;0.5;38.0;0.7086600000000001;"Piano"
58.0;0.25;66.0;0.7086600000000001;"Piano"
58.25;0.25;64.0;0.7086600000000001;"Piano"
58.5;0.5;42.0;0.7086600000000001;"Piano"
58.5;0.25;62.0;0.7086600000000001;"Piano"
58.75;0.25;64.0;0.7086600000000001;"Piano"
59.0;0.5;45.0;0.7086600000000001;"Piano"
59.0;0.25;66.0;0.7086600000000001;"Piano"
59.25;0.25;67.0;0.7086600000000001;"Piano"
59.5;0.5;50.0;0.7086600000000001;"Piano"
59.5;0.25;69.0;0.7086600000000001;"Piano"
59.75;0.25;71.0;0.7086600000000001;"Piano"
60.0;0.5;43.0;0.7086600000000001;"Piano"
60.0;0.5;67.0;0.7086600000000001;"Piano"
60.5;0.5;47.0;0.7086600000000001;"Piano"
60.5;0.25;71.0;0.7086600000000001;"Piano"
60.75;0.25;69.0;0.7086600000000001;"Piano"
61.0;0.5;50.0;0.7086600000000001;"Piano"
61.0;0.5;71.0;0.7086600000000001;"Piano"
61.5;0.5;55.0;0.7086600000000001;"Piano"
61.5;0.25;73.0;0.7086600000000001;"Piano"
61.75;0.25;74.0;0.7086600000000001;"Piano"
62.0;0.5;45.0;0.7086600000000001;"Piano"
62.0;0.25;69.0;0.7086600000000001;"Piano"
62.25;0.25;71.0;0.7086600000000001;"Piano"
62.5;0.5;49.0;0.7086600000000001;"Piano"
62.5;0.25;73.0;0.7086600000000001;"Piano"
62.75;0.25;74.0;0.7086600000000001;"Piano"
63.0;0.5;52.0;0.7086600000000001;"Piano"
63.0;0.25;76.0;0.7086600000000001;"Piano"
63.25;0.25;78.0;0.7086600000000001;"Piano"
63.5;0.5;57.0;0.7086600000000001;"Piano"
63.5;0.25;79.0;0.7086600000000001;"Piano"
63.75;0.25;81.0;0.7086600000000001;"Piano"
64.0;0.5;50.0;0.7086600000000001;"Piano"
64.0;0.5;78.0;0.7086600000000001;"Piano"
64.0;0.5;81.0;0.7086600000000001;"Piano"
64.5;0.5;54.0;0.7086600000000001;"Piano"
64.5;0.25;74.0;0.7086600000000001;"Piano"
64.5;0.25;78.0;0.7086600000000001;"Piano"
64.75;0.25;76.0;0.7086600000000001;"Piano"
64.75;0.25;79.0;0.7086600000000001;"Piano"
